car,price,body,mileage,engV,engType,registration,year,model,drive
VAZ,999,sedan,1,1.5,Petrol,yes,1989,2105,rear
VAZ,1000,sedan,200,1.6,Petrol,yes,1978,2106,rear
VAZ,1000,sedan,68,1.5,Petrol,yes,1995,2105,rear
Volvo,1000,sedan,290,1.7,Other,yes,1986,340,rear
VAZ,1000,sedan,10,8,Petrol,yes,1982,2101,rear
VAZ,1050,sedan,29,1.5,Petrol,yes,1996,2107,rear
Ford,1050,vagon,150,2,Gas,yes,1987,Sierra,rear
VAZ,1050,sedan,65,1.3,Gas,yes,1980,2101,rear
Ford,1099,other,333,1.6,Petrol,yes,1987,Sierra,rear
Toyota,1100,van,140,2,Gas,yes,1985,Lite Ace,rear
VAZ,1100,sedan,1,1.6,Petrol,yes,1977,2101,rear
VAZ,1100,sedan,32,1.3,Gas,yes,1980,2103,rear
Moskvich-Izh,1100,van,160,1.6,Gas,yes,2005,2717,rear
VAZ,1100,sedan,98,1.5,Gas,yes,1982,2106,rear
VAZ,1100,sedan,38,1.5,Gas,yes,1990,2107,rear
VAZ,1100,sedan,70,1.5,Petrol,yes,1990,2107,rear
VAZ,1150,sedan,1,1.3,Petrol,yes,1989,2107,rear
Mercedes-Benz,1200,sedan,240,2.4,Petrol,no,1999,E-Class,rear
VAZ,1200,sedan,200,1.3,Petrol,yes,1996,2105,rear
Ford,1200,sedan,3,2,Petrol,yes,1986,Sierra,rear
Ford,1200,vagon,242,2.9,Petrol,yes,1976,Granada,rear
VAZ,1240,vagon,12,1.5,Petrol,yes,1998,2104,rear
Ford,1250,hatch,250,2,Petrol,yes,1986,Scorpio,rear
VAZ,1250,sedan,150,99.99,Gas,yes,1987,2105,rear
VAZ,1250,sedan,10,1.5,Petrol,yes,1989,2107,rear
VAZ,1250,sedan,150,1.3,Petrol,yes,1989,2105,rear
GAZ,1296.75,sedan,70,2.44,Gas,yes,1982,24,rear
VAZ,1299,vagon,78,1.5,Gas,yes,1996,2104,rear
Ford,1300,sedan,250,1.6,Petrol,yes,1988,Escort,rear
VAZ,1300,sedan,31,1.3,Petrol,yes,1986,2106,rear
VAZ,1300,sedan,11,1.5,Petrol,yes,1987,2105,rear
VAZ,1300,sedan,100,1.6,Petrol,yes,1992,2107,rear
VAZ,1300,sedan,10,1.6,Petrol,yes,1989,2106,rear
Ford,1300,hatch,200,1.6,Petrol,yes,1984,Sierra,rear
Ford,1300,hatch,345,2,Gas,yes,1986,Scorpio,rear
VAZ,1300,sedan,160,1.5,Gas,yes,1991,2106,rear
Volkswagen,1300,other,10,1.6,Diesel,yes,1984,T2 (Transporter),rear
Opel,1300,sedan,250,2.2,Petrol,yes,1986,Rekord,rear
VAZ,1300,sedan,114,1.3,Petrol,yes,1991,2106,rear
VAZ,1300,sedan,7,1.2,Petrol,yes,1984,2105,rear
Ford,1350,vagon,111,2,Other,yes,1989,Sierra,rear
Mercedes-Benz,1350,vagon,240,2.5,Diesel,no,1992,E-Class,rear
VAZ,1350,sedan,113,1.3,Petrol,yes,1986,2106,rear
VAZ,1350,sedan,233,1.3,Petrol,yes,1984,2105,rear
Mercedes-Benz,1350,sedan,360,2.5,Diesel,no,1989,E-Class,rear
VAZ,1399,sedan,139,1.5,Petrol,yes,1997,2105,rear
VAZ,1400,sedan,100,1.3,Gas,yes,1990,2105,rear
Opel,1400,sedan,1,2,Petrol,yes,1988,Omega,rear
VAZ,1400,sedan,87,1.6,Petrol,yes,2002,2107,rear
Ford,1400,sedan,1,2,Gas,yes,1990,Scorpio,rear
BMW,1400,sedan,260,1.8,Petrol,no,1996,318,rear
VAZ,1400,sedan,1,1.5,Gas,yes,1996,2106,rear
VAZ,1420,sedan,450,99.99,Petrol,yes,1998,2107,rear
VAZ,1450,sedan,13,NA,Petrol,yes,1996,2107,rear
VAZ,1450,sedan,105,1.3,Petrol,yes,1990,2106,rear
BMW,1500,sedan,270,2.5,Diesel,no,1992,525,rear
VAZ,1500,sedan,50,1.45,Gas,yes,1974,2103,rear
VAZ,1500,sedan,23,1.3,Petrol,yes,1985,2106,rear
VAZ,1500,sedan,93,1.5,Other,yes,2004,2107,rear
Ford,1500,hatch,2,2,Gas,yes,1987,Sierra,rear
VAZ,1500,sedan,200,1.5,Petrol,yes,2000,2105,rear
Moskvich-AZLK,1500,hatch,1,1.4,Petrol,yes,1964,403,rear
VAZ,1500,vagon,300,1.2,Petrol,yes,1980,2102,rear
Fiat,1500,other,40,10,Gas,yes,1988,125,rear
VAZ,1500,sedan,5,1.6,Petrol,yes,2007,2107,rear
Moskvich-Izh,1519.05,other,116,1.6,Petrol,yes,2004,2717,rear
Ford,1550,hatch,285,2,Gas,yes,1988,Scorpio,rear
BMW,1550,sedan,300,NA,Gas,no,1994,316,rear
VAZ,1555,sedan,125,1.35,Petrol,yes,1987,2106,rear
Opel,1600,sedan,280,2.3,Diesel,yes,1987,Omega,rear
VAZ,1600,sedan,70,1.2,Petrol,yes,1986,2101,rear
Ford,1600,sedan,51,2,Gas,yes,1983,Sierra,rear
Mercedes-Benz,1600,sedan,338,3,Diesel,no,1991,E-Class,rear
VAZ,1600,sedan,230,1.3,Petrol,yes,1987,2106,rear
Opel,1600,sedan,270,2,Gas,yes,1988,Omega,rear
VAZ,1600,sedan,126,1.6,Gas,yes,1979,2106,rear
VAZ,1600,sedan,1,NA,Petrol,yes,1985,2106,rear
Ford,1600,sedan,250,2,Petrol,yes,1990,Scorpio,rear
BMW,1650,sedan,270,1.8,Petrol,no,1995,318,rear
VAZ,1650,sedan,75,1.5,Gas,yes,2003,2106,rear
VAZ,1650,other,1,1.3,Gas,yes,1988,2105,rear
Mercedes-Benz,1650,sedan,257,1.8,Gas,no,1995,CL 180,rear
BMW,1700,sedan,200,2,Diesel,no,2003,320,rear
VAZ,1700,sedan,82,1.5,Petrol,yes,2004,2107,rear
Mercedes-Benz,1700,sedan,300,2,Gas,no,1998,E-Class,rear
GAZ,1700,van,180,2.46,Petrol,yes,2000,32213,rear
VAZ,1700,sedan,73,1.5,Petrol,yes,2004,2107,rear
BMW,1750,vagon,200,2,Petrol,no,2000,520,rear
VAZ,1750,vagon,120,1.5,Petrol,yes,2004,2104,rear
Ford,1750,van,350,2.5,Diesel,yes,1990,Transit груз.,rear
VAZ,1750,sedan,130,1.3,Petrol,yes,1992,2106,rear
VAZ,1750,sedan,87,1.3,Petrol,yes,1992,2106,rear
VAZ,1799,sedan,5,1.3,Gas,yes,1987,2105,rear
VAZ,1799,sedan,95,1.6,Petrol,yes,2003,2107,rear
VAZ,1800,sedan,125,1.5,Petrol,yes,2000,2107,rear
VAZ,1800,vagon,3,1.5,Petrol,yes,1987,2104,rear
Opel,1800,vagon,390,2.3,Diesel,yes,1989,Omega,rear
VAZ,1800,other,52,1.5,Petrol,yes,2004,2107,rear
Opel,1800,sedan,1,2,Gas,no,1999,Omega,rear
VAZ,1800,sedan,361,1.5,Petrol,yes,2001,2107,rear
VAZ,1800,sedan,100,1.5,Petrol,yes,2006,2107,rear
GAZ,1800,sedan,100,2.3,Gas,yes,2000,3110,rear
Mercedes-Benz,1850,sedan,281,2,Diesel,yes,1985,190,rear
VAZ,1850,sedan,42,1.6,Gas,yes,2004,2107,rear
Ford,1852.5,hatch,300,2,Petrol,yes,1985,Scorpio,rear
BMW,1900,sedan,300,2.5,Diesel,no,1997,5 Series,rear
Ford,1900,hatch,350,2,Petrol,yes,1986,Scorpio,rear
BMW,1900,sedan,200,1.8,Gas,no,1994,318,rear
BMW,1900,vagon,285,2.5,Diesel,no,1997,525,rear
VAZ,1900,sedan,109,1.5,Petrol,yes,2004,2107,rear
BMW,1950,sedan,162,1.6,Petrol,no,1995,316,rear
VAZ,1950,sedan,92,1.5,Gas,yes,1990,2107,rear
VAZ,1950,sedan,160,1.5,Gas,yes,2005,2107,rear
Mercedes-Benz,1950,sedan,1,2,Diesel,yes,1979,200,rear
VAZ,1950,sedan,91,1.5,Petrol,yes,2005,2107,rear
GAZ,1999,sedan,70,2.4,Other,yes,1991,2410,rear
VAZ,2000,sedan,49,1.3,Petrol,yes,1974,2103,rear
Ford,2000,van,320,2.5,Diesel,no,1996,Transit груз.,rear
Mercedes-Benz,2000,sedan,270,2.9,Diesel,no,1996,E-Class,rear
Volvo,2000,sedan,300,2,Petrol,yes,1986,240,rear
GAZ,2000,sedan,70,70,Petrol,yes,1968,21,rear
BMW,2050,vagon,300,2.5,Diesel,no,1997,525,rear
Opel,2100,vagon,250,2.5,Diesel,no,2001,Omega,rear
Ford,2100,sedan,256,2,Gas,yes,1987,Sierra,rear
VAZ,2100,sedan,160,1.5,Petrol,yes,2004,2107,rear
Mercedes-Benz,2100,sedan,535,2.2,Diesel,yes,1995,210,rear
Mercedes-Benz,2150,sedan,360,2.9,Diesel,no,1997,E-Class,rear
Smart,2150,hatch,172,0.8,Diesel,no,2002,Fortwo,rear
Opel,2150,sedan,260,1.8,Petrol,yes,1988,Omega,rear
BMW,2200,sedan,303,2.5,Diesel,no,1999,525,rear
Ford,2200,sedan,500,2,Gas,yes,1993,Scorpio,rear
Mercedes-Benz,2200,sedan,400,2,Petrol,yes,1988,190,rear
VAZ,2200,sedan,125,1.3,Gas,yes,1977,2101,rear
Mercedes-Benz,2200,sedan,168,2,Petrol,no,1994,E-Class,rear
Opel,2200,vagon,210,2.5,Diesel,no,2001,Omega,rear
VAZ,2200,vagon,36,1.5,Gas,yes,2005,2104,rear
VAZ,2200,vagon,52,1.5,Petrol,yes,2006,2104,rear
VAZ,2200,sedan,160,1.5,Petrol,yes,2006,2107,rear
BMW,2200,sedan,460,2.4,Diesel,yes,1988,324,rear
GAZ,2200,other,32,2.3,Gas,yes,2002,3221 GAZель,rear
BMW,2200,sedan,290,1.6,Petrol,yes,1985,316,rear
BMW,2250,sedan,350,2.5,Diesel,yes,1998,525,rear
BMW,2250,sedan,300,2.5,Petrol,no,1997,523,rear
Smart,2300,hatch,91,0.6,Petrol,no,2002,Fortwo,rear
VAZ,2300,sedan,121,1.5,Gas,yes,2006,2107,rear
BMW,2300,sedan,189,1.8,Petrol,no,2002,318,rear
Mercedes-Benz,2300,sedan,300,2,Petrol,yes,1991,E-Class,rear
Mercedes-Benz,2300,sedan,261,2.3,Gas,yes,1978,E-Class,rear
Hyundai,2300,van,210,2.5,Diesel,yes,1998,H 100 пасс.,rear
Alfa Romeo,2300,sedan,122,1.6,Petrol,yes,1991,75,rear
VAZ,2300,sedan,99,1.5,Gas,yes,2007,2107,rear
Mercedes-Benz,2300,sedan,300,3,Diesel,yes,1999,E-Class,rear
VAZ,2350,vagon,130,1.5,Gas,yes,2006,2104,rear
GAZ,2399,van,120,2.5,Gas,yes,2008,2752 Соболь,rear
Opel,2400,sedan,333,2,Diesel,no,2000,Omega,rear
Ford,2400,hatch,276,2,Petrol,yes,1990,Scorpio,rear
GAZ,2400,van,120,2.5,Gas,yes,2008,2752 Соболь,rear
Mercedes-Benz,2400,sedan,1,2,Petrol,no,2001,C-Class,rear
Mercedes-Benz,2400,sedan,237,3.8,Petrol,yes,1983,S 350,rear
VAZ,2400,sedan,62,1.5,Petrol,yes,2006,2107,rear
VAZ,2408.25,sedan,46,1.5,Gas,yes,1996,2106,rear
BMW,2450,sedan,328,2.5,Diesel,no,1996,525,rear
VAZ,2450,sedan,15,1.5,Petrol,yes,2005,2107,rear
VAZ,2450,sedan,28,1.5,Petrol,yes,2001,2106,rear
Mercedes-Benz,2499,sedan,300,3,Diesel,no,1999,E-Class,rear
BMW,2499,sedan,210,1.8,Petrol,no,2000,318,rear
Ford,2500,van,1,2.5,Diesel,yes,1989,Transit пасс.,rear
BMW,2500,sedan,242,3,Diesel,no,2001,530,rear
BMW,2500,sedan,44,2.5,Diesel,no,1997,525,rear
Opel,2500,vagon,269,2.2,Diesel,no,2001,Omega,rear
Opel,2500,sedan,250,2,Gas,yes,1989,Omega,rear
Ford,2500,van,200,2,Gas,yes,1991,Transit пасс.,rear
Mercedes-Benz,2500,sedan,200,2.3,Gas,yes,1986,190,rear
VAZ,2500,sedan,102,1.5,Petrol,yes,2007,2107,rear
VAZ,2500,sedan,60,1.6,Petrol,yes,1999,2107,rear
BMW,2500,vagon,250,2.5,Diesel,no,2000,525,rear
VAZ,2500,sedan,43,1.5,Petrol,yes,2004,2107,rear
VAZ,2500,sedan,82,1.5,Petrol,yes,2007,2107,rear
Mercedes-Benz,2500,vagon,122,2.3,Petrol,yes,1987,230,rear
VAZ,2500,vagon,125,1.5,Gas,yes,2007,2104,rear
BMW,2550,sedan,280,1.6,Petrol,no,2000,316,rear
BMW,2550,vagon,312,2.5,Diesel,no,1999,525,rear
Opel,2550,sedan,195,2.2,Petrol,no,2000,Omega,rear
Mercedes-Benz,2550,vagon,367,3.2,Diesel,no,2000,E-Class,rear
VAZ,2600,sedan,120,1.7,Gas,yes,1978,2101,rear
BMW,2600,sedan,270,2,Diesel,no,1998,320,rear
Volkswagen,2600,van,10,2.4,Diesel,yes,1988,LT пасс.,rear
VAZ,2600,vagon,1,1.9,Diesel,yes,2001,2104,rear
BMW,2600,sedan,250,1.6,Petrol,yes,1996,316,rear
Mercedes-Benz,2600,van,280,2.9,Diesel,no,1997,Sprinter 312 груз.,rear
VAZ,2600,vagon,37,1.5,Petrol,yes,2006,2104,rear
Mercedes-Benz,2650,sedan,470,2,Gas,yes,1985,190,rear
BMW,2650,vagon,335,2,Petrol,no,2000,320,rear
Mercedes-Benz,2650,sedan,30,2.3,Gas,yes,1985,230,rear
BMW,2666,sedan,360,2.5,Diesel,no,1996,525,rear
Mercedes-Benz,2700,sedan,337,2.3,Gas,yes,1988,230,rear
Mercedes-Benz,2700,sedan,400,2.9,Diesel,yes,1997,E-Class,rear
Ford,2700,sedan,107,2,Gas,yes,1995,Scorpio,rear
BMW,2700,sedan,220,2.5,Petrol,no,2002,525,rear
Opel,2700,sedan,278,2,Gas,yes,1991,Omega,rear
Mercedes-Benz,2700,sedan,121,2.5,Diesel,yes,1986,E-Class,rear
Mercedes-Benz,2700,sedan,350,3,Diesel,yes,1988,300,rear
BMW,2700,other,287,2.5,Diesel,no,1998,525,rear
VAZ,2700,sedan,47,1.2,Petrol,yes,1984,2101,rear
BMW,2750,vagon,254,2.8,Gas,no,1997,528,rear
GAZ,2778.75,sedan,110,2.5,Petrol,yes,2004,31105,rear
BMW,2800,sedan,296,3,Diesel,no,2001,730,rear
VAZ,2800,sedan,2,1.2,Petrol,yes,1971,2101,rear
Opel,2800,sedan,1,2,Gas,yes,1988,Omega,rear
Ford,2800,van,70,2.5,Diesel,yes,1994,Transit пасс.,rear
Opel,2800,sedan,254,2,Petrol,yes,1990,Omega,rear
BMW,2800,sedan,300,1.8,Other,yes,1987,318,rear
Mercedes-Benz,2800,other,220,2.3,Petrol,no,2000,CLK 230,rear
Ford,2800,hatch,397,2,Gas,yes,1991,Scorpio,rear
Opel,2800,vagon,241,2.2,Gas,no,2002,Omega,rear
BMW,2850,sedan,214,1.9,Petrol,no,2000,318,rear
BMW,2850,sedan,386,5,Gas,yes,1988,750,rear
BMW,2899,sedan,260,2,Diesel,no,2000,320,rear
BMW,2899,sedan,340,2.4,Diesel,yes,1988,524,rear
BMW,2900,vagon,236,2,Diesel,no,2001,320,rear
BMW,2900,vagon,230,2,Diesel,no,2001,320,rear
BMW,2900,sedan,225,2.5,Petrol,no,1997,523,rear
VAZ,2900,other,90,1.5,Petrol,yes,2010,2107,rear
VAZ,2900,sedan,32,NA,Petrol,yes,2008,2107,rear
Mercedes-Benz,2900,other,248,2,Petrol,no,1999,CLK 200,rear
Mercedes-Benz,2900,sedan,282,2.2,Diesel,no,2000,210,rear
BMW,2900,sedan,280,2.5,Diesel,no,1997,525,rear
Opel,2950,vagon,278,2,Gas,yes,1995,Omega,rear
BMW,2990,other,203,2,Petrol,no,2001,318,rear
Lexus,2990,sedan,200,3,Petrol,no,1997,GS 300,rear
Mercedes-Benz,2990,sedan,300,2.8,Gas,yes,1979,S 280,rear
BMW,2999,sedan,299,NA,Diesel,no,2000,530,rear
BMW,2999,sedan,210,2,Other,no,1999,320,rear
BMW,3000,sedan,190,2,Petrol,no,2000,520,rear
Opel,3000,sedan,156,2,Gas,yes,1997,Omega,rear
BMW,3000,sedan,350,99.99,Other,yes,1992,520,rear
BMW,3000,sedan,294,2,Diesel,no,1999,320,rear
BMW,3099,sedan,230,3,Diesel,no,2003,530,rear
BMW,3099,sedan,320,2,Diesel,no,2000,320,rear
BMW,3100,vagon,1,2,Diesel,no,2002,320,rear
BMW,3100,sedan,315,2.5,Diesel,no,1998,525,rear
Smart,3100,other,103,0.6,Petrol,yes,2000,Fortwo,rear
Opel,3100,sedan,286,2,Petrol,yes,1994,Omega,rear
VAZ,3100,sedan,70,1.5,Petrol,yes,1990,2106,rear
Ford,3100,other,350,2.5,Diesel,yes,1998,Transit пасс.,rear
BMW,3100,sedan,280,2,Diesel,no,1999,320,rear
BMW,3150,sedan,200,2,Diesel,no,1999,320,rear
Mercedes-Benz,3200,sedan,229,2.7,Diesel,no,2001,E-Class,rear
BMW,3200,sedan,237,2.5,Petrol,yes,1990,525,rear
Ford,3200,van,320,2.5,Diesel,yes,1995,Transit груз.,rear
Ford,3200,sedan,190,2.3,Gas,yes,1997,Scorpio,rear
BMW,3200,sedan,178,1.9,Petrol,no,2001,318,rear
Mercedes-Benz,3200,sedan,390,2.3,Gas,yes,1985,E-Class,rear
Smart,3200,other,3,0.6,Petrol,yes,1999,Forfour,rear
Mercedes-Benz,3200,sedan,198,2,Gas,yes,1992,190,rear
Mercedes-Benz,3250,sedan,250,4,Diesel,no,2002,S 400,rear
BMW,3300,sedan,250,3,Diesel,no,2000,530,rear
Mercedes-Benz,3300,sedan,200,2.7,Diesel,no,2000,E-Class,rear
VAZ,3300,other,19,NA,Other,yes,2007,2107,rear
BMW,3300,sedan,360,2.5,Petrol,yes,1992,525,rear
Mercedes-Benz,3300,sedan,330,2,Gas,yes,1988,190,rear
Toyota,3300,van,345,2.4,Diesel,yes,1992,Hiace пасс.,rear
Daewoo,3300,sedan,123,1.3,Petrol,yes,2005,Sens,rear
BMW,3300,sedan,233,28,Petrol,no,1997,528,rear
Kia,3300,van,300,2.2,Diesel,yes,1998,Besta,rear
BMW,3350,vagon,295,2,Diesel,no,2002,320,rear
Ford,3350,sedan,150,2,Petrol,yes,1990,Sierra,rear
Opel,3399,sedan,295,2,Gas,yes,1994,Omega,rear
Ford,3400,van,250,2.5,Diesel,yes,1999,Transit пасс.,rear
Smart,3400,other,125,0.6,Petrol,yes,2000,Fortwo,rear
BMW,3400,vagon,191,2,Diesel,no,2002,320,rear
Smart,3450,sedan,155,0.6,Petrol,yes,1999,Fortwo,rear
BMW,3499,sedan,101,2.5,Petrol,yes,1990,525,rear
Smart,3499,sedan,145,6,Petrol,yes,2000,Fortwo,rear
BMW,3500,sedan,272,2,Diesel,yes,2000,320,rear
BMW,3500,sedan,300,3,Diesel,no,1999,530,rear
BMW,3500,sedan,185,2,Diesel,no,2002,320,rear
BMW,3500,sedan,334,2,Diesel,no,1999,320,rear
Mercedes-Benz,3500,sedan,250,2.7,Diesel,no,2001,E-Class,rear
Opel,3500,sedan,250,2.2,Diesel,yes,2001,Omega,rear
VAZ,3500,sedan,8,1.6,Other,yes,2010,2107,rear
BMW,3500,sedan,280,NA,Petrol,no,1996,730,rear
Ford,3500,other,150,2,Gas,yes,1988,Transit пасс.,rear
GAZ,3500,other,60,NA,Petrol,yes,2006,2705 GAZель,rear
BMW,3500,hatch,1,2,Petrol,yes,2006,120,rear
Ford,3500,van,200,2,Gas,yes,1989,Transit пасс.,rear
BMW,3500,sedan,313,2.5,Diesel,yes,1994,325,rear
Mercedes-Benz,3500,van,257,2.2,Diesel,no,2002,C-Class,rear
Mercedes-Benz,3500,sedan,303,2.2,Diesel,no,2000,C-Class,rear
Mercedes-Benz,3550,sedan,238,2.2,Diesel,no,2001,E-Class,rear
VAZ,3600,sedan,35,1.5,Petrol,yes,2009,2107,rear
BMW,3600,sedan,221,3,Diesel,no,2002,530,rear
Smart,3600,hatch,115,0.6,Petrol,yes,1998,Fortwo,rear
Mercedes-Benz,3600,sedan,276,2.7,Diesel,no,2001,E-Class,rear
BMW,3650,sedan,300,2,Petrol,yes,1990,520,rear
BMW,3700,sedan,231,2.5,Petrol,yes,1990,525,rear
BMW,3700,other,110,2.5,Petrol,yes,1983,323,rear
Mercedes-Benz,3700,sedan,270,3.5,Petrol,no,2004,S 350,rear
Nissan,3700,sedan,250,2,Other,yes,1995,Maxima,rear
BMW,3700,sedan,305,1.9,Petrol,no,2000,318,rear
Opel,3750,sedan,1,2,Petrol,yes,1995,Omega,rear
Mercedes-Benz,3750,vagon,330,2.2,Gas,yes,1995,E-Class,rear
Mercedes-Benz,3799,sedan,210,2,Petrol,yes,1995,200,rear
Mercedes-Benz,3799,sedan,210,2,Petrol,yes,1995,E-Class,rear
BMW,3800,sedan,304,1.9,Gas,no,2000,318,rear
Mercedes-Benz,3800,van,462,2.2,Diesel,no,2001,Sprinter груз.,rear
GAZ,3800,sedan,144,2.3,Petrol,yes,2008,31105,rear
Ford,3800,hatch,460,2.9,Gas,yes,1993,Scorpio,rear
Opel,3800,sedan,332,2,Gas,yes,1997,Omega,rear
BMW,3800,sedan,100,1.8,Petrol,yes,1992,318,rear
Mercedes-Benz,3800,other,107,0.6,Petrol,yes,2000,Smart,rear
BMW,3800,sedan,250,3,Diesel,no,2002,330,rear
Groz,3800,van,80,2.2,Petrol,yes,2008,Polarsun Business Van,rear
BMW,3800,sedan,278,2.9,Diesel,no,2001,530,rear
BMW,3900,vagon,240,3,Diesel,no,2001,530,rear
BMW,3900,sedan,380,3,Gas,yes,1989,530,rear
Mercedes-Benz,3900,sedan,375,2,Petrol,yes,1990,190,rear
Mercedes-Benz,3900,sedan,111,2.5,Diesel,yes,1989,E-Class,rear
BMW,3900,sedan,340,2.5,Diesel,no,2000,525,rear
BMW,3900,sedan,330,3,Diesel,no,2000,530,rear
Mercedes-Benz,3900,sedan,385,1.8,Petrol,yes,1995,C-Class,rear
Smart,3900,other,138,0.6,Petrol,yes,2000,City,rear
Opel,3900,vagon,370,2,Gas,yes,1994,Omega,rear
BMW,3950,sedan,300,2,Petrol,yes,1986,320,rear
BMW,3990,sedan,350,2.5,Petrol,yes,1995,525,rear
Opel,3999,sedan,250,2.5,Petrol,yes,1997,Omega,rear
Ford,3999,van,324,2.5,Diesel,yes,1994,Transit пасс.,rear
BMW,3999,sedan,250,3,Diesel,no,2000,530,rear
Smart,3999,hatch,171,0.6,Petrol,yes,2002,Fortwo,rear
BMW,3999,sedan,238,1.8,Petrol,yes,1996,318,rear
Opel,3999,other,1,2,Petrol,yes,1979,Manta,rear
BMW,4000,sedan,380,2,Petrol,yes,1991,320,rear
Mercedes-Benz,4000,sedan,460,2,Petrol,yes,1991,E-Class,rear
BMW,4000,sedan,230,2,Diesel,no,2003,320,rear
Mercedes-Benz,4000,sedan,300,1.8,Petrol,yes,1996,C-Class,rear
Toyota,4000,sedan,243,2,Gas,yes,1987,Mark II,rear
Mercedes-Benz,4000,sedan,370,3.2,Diesel,no,2002,E-Class,rear
Opel,4000,sedan,215,2,Petrol,yes,1997,Omega,rear
Smart,4000,hatch,141,0.6,Petrol,yes,2001,Fortwo,rear
GAZ,4000,sedan,98,2.4,Petrol,yes,1970,21,rear
BMW,4000,sedan,335,2,Diesel,no,1999,320,rear
Mercedes-Benz,4000,sedan,405,2,Diesel,yes,1992,200,rear
Opel,4050,sedan,264,2,Petrol,yes,1998,Omega,rear
BMW,4099,sedan,50,2.5,Petrol,yes,1988,520,rear
BMW,4100,sedan,26,3,Diesel,no,2001,530,rear
BMW,4100,sedan,350,2.4,Diesel,yes,1992,525,rear
Mercedes-Benz,4100,sedan,410,2.2,Diesel,yes,1998,E-Class,rear
Mercedes-Benz,4100,sedan,400,2,Diesel,yes,1987,190,rear
Smart,4100,other,220,0.6,Petrol,yes,2001,Fortwo,rear
BMW,4100,sedan,200,2.7,Petrol,yes,1988,525,rear
Mercedes-Benz,4100,sedan,215,4.3,Petrol,no,2001,CLK 430,rear
Smart,4150,other,99,NA,Petrol,yes,2002,Fortwo,rear
Smart,4150,other,125,0.6,Petrol,yes,2002,Fortwo,rear
Opel,4200,sedan,290,2,Petrol,yes,1997,Omega,rear
BMW,4200,sedan,277,2,Petrol,yes,1991,320,rear
Smart,4200,other,170,0.6,Petrol,yes,2000,Fortwo,rear
BMW,4300,sedan,200,2,Diesel,no,2002,320,rear
Smart,4300,other,108,0.6,Petrol,yes,2002,Fortwo,rear
